Date,Region,VenueName,ShowTime,MaxSeats,SeatsAvailable,BookedTickets,Occupancy,BookedGross,TotalGross
2025-07-21,VIZAG,Sangam Theatre 4K Dolby Atmos: Vizag,07:00 AM,777,0,777,100.00%,174950.00,174950.00
2025-07-21,VIZAG,Sangam Theatre 4K Dolby Atmos: Vizag,11:00 AM,777,0,777,100.00%,174950.00,174950.00
2025-07-21,VIZAG,Sangam Theatre 4K Dolby Atmos: Vizag,02:30 PM,777,51,726,93.44%,166400.00,174950.00
2025-07-21,VIZAG,Sangam Theatre 4K Dolby Atmos: Vizag,06:30 PM,777,84,693,89.19%,160950.00,174950.00
2025-07-21,VIZAG,Sangam Theatre 4K Dolby Atmos: Vizag,10:00 PM,777,140,637,81.98%,147650.00,174950.00
2025-07-21,VIZAG,Sree Rama Theatre 4K Dolby Atmos: Vizag,07:00 AM,554,0,554,100.00%,124700.00,124700.00
2025-07-21,VIZAG,Sree Rama Theatre 4K Dolby Atmos: Vizag,11:00 AM,554,0,554,100.00%,124700.00,124700.00
2025-07-21,VIZAG,Sree Rama Theatre 4K Dolby Atmos: Vizag,02:30 PM,554,119,435,78.52%,99450.00,124700.00
2025-07-21,VIZAG,Sree Rama Theatre 4K Dolby Atmos: Vizag,06:15 PM,554,89,465,83.94%,105850.00,124700.00
2025-07-21,VIZAG,Sree Rama Theatre 4K Dolby Atmos: Vizag,09:45 PM,554,127,427,77.08%,97150.00,124700.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,07:00 AM,467,0,467,100.00%,103950.00,103950.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,07:15 AM,306,9,297,97.06%,61250.00,62600.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,11:00 AM,467,162,305,65.31%,72450.00,103950.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,11:10 AM,306,192,114,37.25%,25700.00,62600.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,02:30 PM,467,375,92,19.70%,22900.00,103950.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,02:40 PM,306,291,15,4.90%,3550.00,62600.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,06:20 PM,306,299,7,2.29%,1050.00,62600.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,06:30 PM,467,351,116,24.84%,27800.00,103950.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,10:00 PM,467,374,93,19.91%,21450.00,103950.00
2025-07-21,VIZAG,Sri Venkateswara Theatres Dolby 7.1 2K A/C: Vizag,10:10 PM,306,284,22,7.19%,5200.00,62600.00
2025-07-21,KAKINADA,Laxmi  A/C  Dts 2K: Kakinada,09:45 PM,459,102,357,77.78%,183000.00,244200.00
2025-07-21,KAKINADA,Satyagouri A/C 2K Digital Dolby Ex: Kakinada,09:30 PM,445,31,414,93.03%,212100.00,230700.00
2025-07-21,KAKINADA,Sripriya Dts 2K: Kakinada,09:15 PM,45,4,41,91.11%,24600.00,27000.00
2025-07-21,KAKINADA,Surya Cinemax: Kakinada,09:30 PM,408,213,195,47.79%,99300.00,219900.00
2025-07-21,RAJAMAHENDRAVARAM,Sri Venkata Surya Picture Palace 2K: Kadiam,09:00 PM,387,0,387,100.00%,203400.00,203400.00
2025-07-21,VIJAYAWADA,Alankar A/C 4K Dolby Surround: Vijayawada,08:01 AM,519,0,519,100.00%,122730.00,122730.00
2025-07-21,VIJAYAWADA,Alankar A/C 4K Dolby Surround: Vijayawada,11:15 AM,519,0,519,100.00%,122730.00,122730.00
2025-07-21,VIJAYAWADA,Alankar A/C 4K Dolby Surround: Vijayawada,02:30 PM,519,0,519,100.00%,122730.00,122730.00
2025-07-21,VIJAYAWADA,Alankar A/C 4K Dolby Surround: Vijayawada,06:15 PM,519,4,515,99.23%,122130.00,122730.00
2025-07-21,VIJAYAWADA,Alankar A/C 4K Dolby Surround: Vijayawada,09:45 PM,519,22,497,95.76%,119430.00,122730.00
2025-07-21,VIJAYAWADA,Balaji Cine Villa: Vijayawada,08:01 AM,469,80,389,82.94%,92050.00,105650.00
2025-07-21,VIJAYAWADA,Balaji Cine Villa: Vijayawada,11:30 AM,469,240,229,48.83%,55150.00,105650.00
2025-07-21,VIJAYAWADA,Balaji Cine Villa: Vijayawada,03:00 PM,469,346,123,26.23%,30250.00,105650.00
2025-07-21,VIJAYAWADA,Balaji Cine Villa: Vijayawada,06:30 PM,469,302,167,35.61%,40950.00,105650.00
2025-07-21,VIJAYAWADA,Balaji Cine Villa: Vijayawada,10:00 PM,469,259,210,44.78%,51300.00,105650.00
2025-07-21,VIJAYAWADA,Jayram Theatre: Vijayawada,08:01 AM,552,0,552,100.00%,118810.00,118810.00
2025-07-21,VIJAYAWADA,Jayram Theatre: Vijayawada,11:15 AM,552,2,550,99.64%,118510.00,118810.00
2025-07-21,VIJAYAWADA,Jayram Theatre: Vijayawada,02:30 PM,552,21,531,96.20%,115660.00,118810.00
2025-07-21,VIJAYAWADA,Jayram Theatre: Vijayawada,06:15 PM,552,32,520,94.20%,114010.00,118810.00
2025-07-21,VIJAYAWADA,Jayram Theatre: Vijayawada,09:30 PM,552,40,512,92.75%,112810.00,118810.00
2025-07-21,VIJAYAWADA,Sairam Screens A/C Dolby 7.1 Surround: Vijayawada,08:00 AM,189,0,189,100.00%,42850.00,42850.00
2025-07-21,VIJAYAWADA,Sairam Screens A/C Dolby 7.1 Surround: Vijayawada,08:15 AM,189,15,174,92.06%,40200.00,42750.00
2025-07-21,VIJAYAWADA,Sairam Screens A/C Dolby 7.1 Surround: Vijayawada,11:15 AM,189,64,125,66.14%,29850.00,42850.00
2025-07-21,VIJAYAWADA,Sairam Screens A/C Dolby 7.1 Surround: Vijayawada,02:30 PM,189,126,63,33.33%,15350.00,42850.00
2025-07-21,VIJAYAWADA,Sairam Screens A/C Dolby 7.1 Surround: Vijayawada,06:15 PM,189,103,86,45.50%,19800.00,42850.00
2025-07-21,VIJAYAWADA,Sairam Screens A/C Dolby 7.1 Surround: Vijayawada,09:30 PM,189,67,122,64.55%,28800.00,42850.00
2025-07-21,VIJAYAWADA,Swarna Multiplex: Vijayawada,08:01 AM,400,0,400,100.00%,89100.00,89100.00
2025-07-21,VIJAYAWADA,Swarna Multiplex: Vijayawada,08:20 AM,276,55,221,80.07%,49450.00,62000.00
2025-07-21,VIJAYAWADA,Swarna Multiplex: Vijayawada,11:30 AM,400,187,213,53.25%,45350.00,89100.00
2025-07-21,VIJAYAWADA,Swarna Multiplex: Vijayawada,02:45 PM,400,204,196,49.00%,41400.00,89100.00
2025-07-21,VIJAYAWADA,Swarna Multiplex: Vijayawada,06:30 PM,400,192,208,52.00%,44100.00,89100.00
2025-07-21,VIJAYAWADA,Swarna Multiplex: Vijayawada,10:00 PM,400,153,247,61.75%,53250.00,89100.00